,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
104,Explorer,USA – Hawaii Big Island Volcanoes & Beaches," Kailua Kona, Hawaii Volcanoes National Park, Hilo ", 18 to 60 ,"Group, Partially Guided, Christmas & New Year+1 more",Bucket List Group Travel LLC,5 days,"3,590",204659
105,Hiking & Trekking,USA – 5 Days Grand Canyon Rim to Rim Backpacking Adventure," Phoenix, Grand Canyon National Park ", 18 to 60 ,"Group, Fully Guided",Bucket List Group Travel LLC,5 days,"2,589",204646
106,In-depth Cultural,"Wonders of the American West (Classic, 10 Days)"," Las Vegas, Grand Canyon National Park, Page, Monument Valley, Navajo National Park, Moab, Arches National Park, Canyonlands National Park, Bryce Canyon National Park, Zion National Park+6 more", 5 to 99 ,"Family, Private, Group, Fully Guided, Coach / Bus+2 more",Insight Vacations,10 days,"4,091",90271
107,Explorer,Best of the West 11 Day National Parks Tour Camping from Las Vegas to San Francisco," Las Vegas, Zion National Park, Bryce Canyon National Park, Arches National Park, Canyonlands National Park, Monument Valley, Antelope Canyon, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+8 more", 7 to 99 ,"Active Adventure, Family, Camping, Private, Group, Fully Guided, Hiking & Trekking+4 more",Bindlestiff Tours,11 days,"2,365",198301
108,In-depth Cultural,America's National Parks with Denver," Denver, Rapid City, Mount Rushmore National Memorial, Deadwood, Sheridan, Cody, Yellowstone National Park, Grand Teton National Park, Jackson, Salt Lake City+4 more", 5 to 80 ,"Active Adventure, Family, Wildlife, Group, Fully Guided, Explorer+4 more",Globus,11 days,"3,969",51741
109,Hiking & Trekking,USA – 8 Days Arches Canyonlands Antelope Zion Bryce Grand Canyon," Las Vegas, Zion National Park, Bryce Canyon National Park, Moab, Monument Valley, Grand Canyon Village+2 more", 18 to 60 ,"Group, Fully Guided",Bucket List Group Travel LLC,8 days,"3,990",206854
110,Hiking & Trekking,USA – 5 Days Chasing Slot Canyons in Utah," Las Vegas, Grand Staircase-Escalante National Monument, Kanab, Zion National Park+1 more", 18 to 60 ,"Group, Fully Guided",Bucket List Group Travel LLC,5 days,"2,590",204645
111,Active Adventure,USA – 6 Days Yellowstone Grand Tetons Adventure," Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park, Gardiner+1 more", 18 to 60 ,"Group, Partially Guided",Bucket List Group Travel LLC,6 days,"3,290",237267
112,Hiking & Trekking,5 Days Death Valley and Joshua Tree," Las Vegas, Death Valley National Park, Joshua Tree National Park ", 18 to 60 ,"Group, Christmas & New Year+1 more",Bucket List Group Travel LLC,5 days,"2,590",204262
113,Hiking & Trekking,USA – 5 Days Blue Ridge Parkway to Great Smoky Mountains," Charlotte, Blowing Rock, Linville, Spruce Pine, Great Smoky Mountains National Park, Gatlinburg, Knoxville+3 more", 18 to 60 ,"Group, Partially Guided",Bucket List Group Travel LLC,5 days,"2,590",204785
114,Explorer,USA – 5 Days South Florida Highlights Miami to Key West," Miami, Everglades National Park, Key West ", 18 to 60 ,"Group, Partially Guided, Christmas & New Year+1 more",Bucket List Group Travel LLC,5 days,"2,590",205231
115,Explorer,USA – Alaska Summer Fairbanks to Seward," Fairbanks, Denali National Park, Anchorage, Seward ", 18 to 60 ,"Wildlife, Group, Partially Guided+1 more",Bucket List Group Travel LLC,7 days,"2,990",231226
116,Explorer,Best of the South: Atlanta to New Orleans," Atlanta, Savannah, Charleston, Asheville, Nashville, Memphis, New Orleans ", 15 to 99 ,"Group, Fully Guided, Coach / Bus, Historical+2 more",Intrepid Travel,12 days,"5,369",223219
117,Explorer,"Alaska Hike, Bike & Kayak"," Anchorage, Denali National Park, Talkeetna, Portage Glacier, Seward, Kenai Fjords National Park+1 more", 15 to 99 ,"Bicycle, Group, Fully Guided, Hiking & Trekking+2 more",Intrepid Travel,6 days,"3,080",223900
118,Explorer,USA – 8 Days Zion to Yosemite National Parks Adventures," Las Vegas, Zion National Park, Bryce Canyon National Park, Antelope Canyon, Monument Valley, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+5 more", 18 to 60 ,"Group, Partially Guided, Hiking & Trekking+1 more",Bucket List Group Travel LLC,8 days,"3,190",231223
119,Hiking & Trekking,Hiking the Best of the West's National Parks," Las Vegas, Capitol Reef National Park, Moab, Canyonlands National Park, Arches National Park, Grand Staircase-Escalante National Monument, Bryce Canyon National Park, Zion National Park, Sequoia National Park, Kings Canyon National Park, Yosemite National Park, San Francisco+8 more", 12 to 90 ,"Active Adventure, Group, Fully Guided, Explorer+2 more",G Adventures,16 days,"2,919",176283
120,,Bryce & Zion Overnight Tour," Las Vegas, Bryce Canyon National Park, Zion National Park ", 7 to 99 ,"Family, Camping, Mountain Hikes, Private, Group, Fully Guided, Explorer+5 more",Bindlestiff Tours,2 days,385,39783
121,Explorer,Hawaii Multi-Island Explorer," Waikiki, Kahului, Kapaa, Waimea Canyon State Park, Hilo, Hawaii Volcanoes National Park, Kailua Kona+2 more", 12 to 99 ,"Active Adventure, Group, Fully Guided+1 more",G Adventures,14 days,"7,449",205996
122,Explorer,Yellowstone Rocky Mountain and California Desert 11 Day Explorer Camping and Lodging mix," Las Vegas, Bryce Canyon National Park, Salt Lake City, Grand Teton National Park, Yellowstone National Park, Death Valley National Park, Yosemite National Park, San Francisco+5 more", 7 to 99 ,"Active Adventure, Family, Camping, Private, Group, Fully Guided, Hiking & Trekking+4 more",Bindlestiff Tours,11 days,"2,995",198350
123,Explorer,Private Tour- Best of the West 11 Day National Parks Tour Lodging Las Vegas to San Francisco," Las Vegas, Zion National Park, Bryce Canyon National Park, Arches National Park, Canyonlands National Park, Monument Valley, Antelope Canyon, Grand Canyon National Park, Death Valley National Park, Yosemite National Park, San Francisco+8 more", 7 to 99 ,"Active Adventure, Family, Private, Fully Guided+1 more",Bindlestiff Tours,11 days,"3,515",217935
124,Explorer,4 Day Death Valley Yosemite San Francisco from Las Vegas Lodging," Las Vegas, Death Valley National Park, Yosemite National Park, San Francisco ", 7 to 98 ,"Active Adventure, Family, Private, Group, Fully Guided, Hiking & Trekking+3 more",Bindlestiff Tours,4 days,"1,325",198305
125,Explorer,Yellowstone and Grand Teton Family Holiday," Jackson, Grand Teton National Park, Yellowstone National Park ", 5 to 99 ,"Family, Group, Fully Guided+1 more",Intrepid Travel,6 days,"2,384",215815
126,Explorer,Tennessee Music Trail to New Orleans," Nashville, Memphis, New Orleans ", 15 to 99 ,"Food & Culinary, Group, Fully Guided, Historical+2 more",Intrepid Travel,6 days,"2,284",223160
127,Explorer,Pacific North West Adventure - Seattle to Portland," Seattle, Olympic National Park, Mount Rainier National Park, Portland ", 15 to 99 ,"Group, Fully Guided",Intrepid Travel,6 days,"2,168",222842
128,Explorer,National Parks Winter Tour," Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Zion National Park+1 more", 7 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Hiking & Trekking, Christmas & New Year+4 more",Bindlestiff Tours,3 days,875,33896
129,Bicycle,Cycle Washington's San Juan Islands," Anacortes, Fidalgo Island, Orcas Island, San Juan Island ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,6 days,"2,715",213264
130,Active Adventure,Golden West Adventure," Los Angeles, Palm Springs, Scottsdale, Sedona, Grand Canyon National Park, Williams, Las Vegas, Tulare, Yosemite National Park, Modesto, Sausalito, San Francisco, Monterey, Carmel, Solvang, Santa Barbara, Santa Monica+12 more", 5 to 99 ,"Family, Group, Fully Guided+1 more",Cosmos,14 days,"2,529",116592
131,Explorer,Alaska Discovery," Anchorage, Denali National Park, Talkeetna, Whittier, Chugach Mountains, Prince William Sound+1 more", 15 to 99 ,"Wildlife, Group, Fully Guided, In-depth Cultural+2 more",Intrepid Travel,7 days,"2,685",234932
132,Hiking & Trekking,Hiking in Denali National Park," Anchorage, Palmer, Talkeetna, Denali National Park ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Explorer+2 more",Intrepid Travel,6 days,"2,456",215630
133,Wildlife,Best of Alaska," Anchorage, Denali National Park, Valdez, Whittier, Seward, Kenai Fjords National Park+1 more", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,10 days,"4,509",81270
134,Explorer,"Jewels of Alaska (Small Groups, 7 Days)"," Anchorage, Talkeetna, Denali National Park, Girdwood, Alyeska, Big Lake, Seward, Prince William Sound+1 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus, Historical+3 more",Insight Vacations,7 days,"4,280",221836
135,Explorer,USA Road Trip- Highway 1 and San Fran Sun," Los Angeles, Santa Monica, Santa Margarita, Monterey, Santa Cruz, Half Moon Bay, San Francisco+1 more", 18 to 39 ,"Group, Fully Guided",G Adventures,4 days,719,224075
136,Explorer,Best of Hawaii (10 Days)," Waikiki, Honolulu, Oahu, Pearl Harbor, Kailua, Hawaii Volcanoes National Park, Maui, Kaanapali, Lahaina, Kahului, Kauai Island+5 more", 5 to 99 ,"Beach, Family, Group, Fully Guided+1 more",Trafalgar,10 days,"3,633",224069
137,In-depth Cultural,"Enchanting Canyonlands (Small Groups, 7 Days)"," Phoenix, Scottsdale, Monument Valley, Sedona, Grand Canyon National Park, Bryce Canyon National Park, Zion National Park, Salt Lake City+3 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus, Historical+3 more",Insight Vacations,7 days,"3,554",230937
138,Explorer,Golden West Adventure - Los Angeles Airport," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park+4 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,8 days,"1,164",214279
139,Explorer,Golden West Adventure - Los Angeles Downtown (ending in Las Vegas)," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park+4 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,7 days,"1,247",214911
140,In-depth Cultural,Welcome to Colorado (10 Days)," Denver, Rocky Mountain National Park, Boulder, Vail, Glenwood Springs, Aspen, Colorado National Monument, Palisade, Silverton, Durango, Mesa Verde National Park, Great Sand Dunes National Park, Colorado Springs+7 more", 5 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+4 more",Trafalgar,10 days,"3,396",178142
141,In-depth Cultural,Fall Colours of New England (10 Days)," Boston, Plymouth, Hyannis, Yarmouth, Cape Cod, Provincetown, Providence, Killington, Stowe, Montpelier, North Conway, Kennebunkport, Portsmouth+6 more", 5 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Costsaver,10 days,"2,008",93167
142,Hiking & Trekking,National Parks Walk," Las Vegas, Zion National Park, Bryce Canyon National Park, Moab, Arches National Park, Canyonlands National Park, Monument Valley, Grand Canyon National Park+4 more", 16 to 80 ,"Active Adventure, Walking Tour, Wildlife, Private, Group, Fully Guided+4 more",Exodus Travels,11 days,"6,649",133329
143,Bicycle,Oregon Crater Lake Bike Tour," Eugene, Bend, Crater Lake National Park, Umpqua National Forest ", 21 to 99 ,"Private, Group, Fully Guided, Explorer+2 more",Bicycle Adventures,6 days,"3,886",118026
144,Explorer,Golden West Adventure - Los Angeles Downtown," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park+4 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,8 days,"1,295",214300
145,Bicycle,San Juan Islands 6 Day Bike Tour (New & Improved Itinerary!)," Seattle, Anacortes, San Juan Island, Friday Harbor, Orcas Island ", 21 to 99 ,"Private, Group, Fully Guided, Explorer+2 more",Bicycle Adventures,6 days,"3,941",116718
146,In-depth Cultural,American Gateway – 4 Days," New York City, Finger Lakes, Niagara Falls (USA), Philadelphia, Washington DC ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Amadeo,4 days,785,167544
147,Explorer,Golden West Adventure - Los Angeles Airport (ending in Las Vegas)," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park+4 more", 99 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,7 days,"1,116",214910
148,In-depth Cultural,"Wild West, Cowboys and Buffalos (End Denver, 9 Days)"," Salt Lake City, Montpelier, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Sheridan, Rapid City, Denver+5 more", 5 to 99 ,"Family, Wildlife, Private, Group, Fully Guided, Explorer, Coach / Bus+4 more",Trafalgar,9 days,"2,961",82365
149,Active Adventure,"Wild West, Cowboys and Buffalos (End Rapid City, 9 Days)"," Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Sheridan, Rapid City, Badlands National Park, Mount Rushmore National Memorial+5 more", 5 to 99 ,"Family, Wildlife, Private, Group, Fully Guided, In-depth Cultural+3 more",Trafalgar,9 days,"2,961",82362
150,Hiking & Trekking,USA – Montana Glacier National Park Sun Road Llama Trek," Missoula, Glacier National Park ", 18 to 55 ,"Private, Group, Partially Guided+1 more",Bucket List Group Travel LLC,5 days,"3,590",216920
151,Hiking & Trekking,Hiking in Kenai Fjords National Park," Anchorage, Seward, Kenai Fjords National Park, Homer ", 15 to 99 ,"Active Adventure, Group, Fully Guided, Explorer+2 more",Intrepid Travel,7 days,"2,198",215629
152,Explorer,Hawaiian Adventure: Beachin' & Boardin', Waikiki , 18 to 39 ,"Beach, Group, Fully Guided",G Adventures,7 days,874,206028
153,Active Adventure,San Francisco & Yosemite Express 3D/2N (From Los Angeles)," Los Angeles, Santa Barbara, Solvang, Carmel, San Francisco, Yosemite National Park+1 more", 10 to 99 ,"Family, Private, Independent, Partially Guided, Coach / Bus, Historical, Christmas & New Year+5 more",Bamba Travel,3 days,780,92354
154,Explorer,"Hawaii with Oahu & Maui (Classic, With The Big Island, 10 Days)"," Honolulu, Waikiki, Pearl Harbor, Oahu, Kailua, Kaanapali, Lahaina, Kahului, Maui, Haleakala National Park, Kailua Kona+2 more", 5 to 99 ,"Beach, Family",Insight Vacations,10 days,"4,753",218965
155,Bicycle,Cycle New Mexico: Santa Fe & Taos," Santa Fe, Bandelier National Monument, Taos ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,6 days,"2,810",223196
156,Explorer,"Yellowstone The Tetons and Glacier National Park (Small Group, 7 Days)"," Idaho Falls, Grand Teton National Park, Yellowstone National Park, Big Sky, Glacier National Park, Whitefish, Kalispell+3 more", 5 to 99 ,"Family, Group, Fully Guided, Hiking & Trekking+2 more",Trafalgar,7 days,"3,864",227088
157,Explorer,California Dreamin'," Los Angeles, Santa Cruz, San Francisco, Yosemite National Park ", 18 to 35 ,"Group, Fully Guided, Historical+1 more",LocalAdventures,9 days,"2,433",237587
158,In-depth Cultural,Cape Cod & the Islands," Boston, Plymouth, Hyannis, Martha's Vineyard Island, Cape Cod, Nantucket, Newport+1 more", 5 to 80 ,"Family, Group, Fully Guided, Explorer+2 more",Globus,8 days,"3,459",51897
159,Explorer,Zion Ranch Stay," Las Vegas, Zion National Park, Bryce Canyon National Park, Monument Valley ", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking+1 more",Intrepid Travel,4 days,"1,795",208336
160,Explorer,"American Parks Trail (Classic, End Denver, 9 Days)"," Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Bighorn National Forest, Mount Rushmore National Memorial, Denver+4 more", 5 to 99 ,"Family, Group, Fully Guided, Coach / Bus+2 more",Insight Vacations,9 days,"3,659",218944
161,In-depth Cultural,New York Explorer (5 Days), New York City , 18 to 35 ,"Self-Guided, Private, Independent, Christmas & New Year+2 more",Contiki,5 days,565,165004
162,Explorer,Western Wonders - Los Angeles Airport," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park, Mammoth Lakes, Yosemite National Park, Carmel, Monterey, San Francisco+9 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,11 days,"1,784",182386
163,In-depth Cultural,Nature's Best: Alaska," Fairbanks, Denali National Park, Talkeetna, Anchorage, Kenai Fjords National Park+1 more", 5 to 80 ,"Family, Wildlife, Group, Fully Guided, Explorer+2 more",Globus,7 days,"3,149",51523
164,Explorer,California Panorama," Los Angeles, Las Vegas, Death Valley National Park, Mammoth Lakes, Fresno, Yosemite National Park, Modesto, San Francisco, Monterey, Carmel, Santa Barbara, Santa Monica+7 more", 21 to 99 ,"Group, Fully Guided",Omega Tours,8 days,"2,022",221977
165,In-depth Cultural,"Niagara Falls, Washington DC, Philadelphia & Amish Country 4D/3N (from New York)"," New York City, Finger Lakes, Niagara Falls (USA), Philadelphia, Washington DC ", 10 to 99 ,"Family, Private, Independent, Partially Guided, Explorer, Coach / Bus, Sightseeing, Historical, Christmas & New Year+7 more",Bamba Travel,4 days,"1,021",201587
166,Bicycle,Trail of the Coeur d'Alenes Bike Tour," Spokane, Wallace, Cataldo, Coeur d'Alene ", 21 to 99 ,"Private, Group, Fully Guided, Explorer+2 more",Bicycle Adventures,6 days,"3,238",118044
167,Explorer,Western Wonders - Los Angeles Downtown," Los Angeles, Las Vegas, Grand Canyon National Park, Monument Valley, Antelope Canyon, Kanab, Bryce Canyon National Park, Zion National Park, Mammoth Lakes, Yosemite National Park, Carmel, Monterey, San Francisco+9 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,11 days,"1,880",214278
168,Explorer,Western Triangle - Los Angeles Downtown," Los Angeles, Las Vegas, Mammoth Lakes, Yosemite National Park, Carmel, Monterey, San Francisco+1 more", 12 to 99 ,"Group, Fully Guided",ATP - AlliedTPro,9 days,"1,453",214303
169,Active Adventure,Mighty 5 Canyons Adventure (from Las Vegas) 5D/4N," Las Vegas, Cedar City, Moab, Torrey, Bryce Canyon National Park ", 10 to 99 ,"Family, Private, Independent, Partially Guided, Explorer+3 more",Bamba Travel,5 days,"2,490",203538
170,,Hawaiian Islands," Honolulu, Kauai Island, Hilo, Kailua Kona, Lahaina ", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus+3 more",Cosmos,11 days,"2,249",52222
171,In-depth Cultural,California's Great National Parks (8 Days)," Las Vegas, Death Valley National Park, Mammoth Lakes, Yosemite National Park, Kings Canyon National Park, Sequoia National Park, Los Angeles+3 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus, Historical+4 more",Trafalgar,8 days,"3,300",161853
172,Hiking & Trekking,Hiking Utah's National Parks," Las Vegas, Zion National Park, Bryce Canyon National Park, Moab, Bluff, Page ", 15 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,9 days,"3,018",223631
173,In-depth Cultural,"Washington , NY and Boston"," Washington DC, Lancaster, Philadelphia, New York City, Boston ", 1 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus+3 more",Europamundo,7 days,"1,545",113757
174,Explorer,"Hawaii with Oahu & Maui (Classic, Base, 7 Days)"," Honolulu, Pearl Harbor, Oahu, Kahului, Lahaina, Kaanapali, Haleakala National Park+1 more", 5 to 99 ,"Beach, Family, Group, Fully Guided, Historical+2 more",Insight Vacations,7 days,"3,509",199949
175,In-depth Cultural,Scenic Parks Explorer (15 Days)," Las Vegas, Zion National Park, Bryce Canyon National Park, Salt Lake City, Montpelier, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Billings, Little Bighorn Battlefield National Monument, Rapid City, Denver, Vail, Moab, Canyonlands National Park, Arches National Park, Mesa Verde National Park, Monument Valley, Grand Canyon National Park+16 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus+3 more",Trafalgar,15 days,"4,985",82615
176,Explorer,Alaska Summer Family Holiday," Anchorage, Seward, Talkeetna, Denali National Park ", 5 to 99 ,"Family, Wildlife, Group, Fully Guided+1 more",Intrepid Travel,8 days,"4,095",209590
177,Hiking & Trekking,Kenai Fjords & Denali Adventure," Anchorage, Kenai, Seward, Kenai Fjords National Park, Alyeska, Talkeetna, Girdwood, Denali National Park+2 more", 6 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Active Adventures,8 days,"5,899",228493
178,Explorer,Great American West," Rapid City, Badlands National Park, Custer State Park, Sheridan, Little Bighorn Battlefield National Monument, West Yellowstone, Yellowstone National Park, Bozeman, Helena, Great Falls, Glacier National Park, Whitefish, Missoula+9 more", 15 to 99 ,"Group, Fully Guided, Hiking & Trekking, Historical+2 more",Intrepid Travel,12 days,"5,184",229398
179,Hiking & Trekking,GIVE - Pacific Northwest Volunteer & Responsible Tourism Excursion," Seattle, Snoqualmie ", 16 to 75 ,"Group, Fully Guided",Growth International Volunteer Excursions,7 days,"1,995",213145
180,Hiking & Trekking,Hiking and Camping in Yellowstone," Jackson, Yellowstone National Park ", 12 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,5 days,"2,065",230881
181,Explorer,Zion Family Ranch Stay," Las Vegas, Zion National Park, Bryce Canyon National Park ", 5 to 99 ,"Family, Group, Fully Guided+1 more",Intrepid Travel,5 days,"2,720",215993
182,Active Adventure,"American Parks Trail (Classic, End Rapid City, 9 Days)"," Salt Lake City, Jackson, Yellowstone National Park, Devils Tower, Spearfish, Rapid City+1 more", 5 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical+3 more",Insight Vacations,9 days,"3,659",202643
183,In-depth Cultural,America's Greatest Treasure with Rapid City Start," Rapid City, Mount Rushmore National Memorial, Deadwood, Cody, West Yellowstone, Yellowstone National Park, Grand Teton National Park, Jackson, Salt Lake City+4 more", 5 to 99 ,"Family, Walking Tour, Group, Fully Guided, Explorer, Sightseeing, Historical+5 more",Cosmos,9 days,"2,129",131990
184,In-depth Cultural,Pacific Coast Adventure," Seattle, Portland, Newport, Florence, North Bend, Gold Beach, Redwood National Park, Eureka, San Francisco+3 more", 5 to 80 ,"Active Adventure, Family, Group, Fully Guided, Explorer+2 more",Globus,9 days,"3,119",51763
185,,Grand Canyon National Park: Overnight," Las Vegas, Grand Canyon National Park ", 7 to 99 ,"Family, Camping, Private, Group, Fully Guided, Hiking & Trekking+3 more",Bindlestiff Tours,2 days,385,39780
186,Bicycle,Mickelson Trail Bike Tour," Rapid City, Mount Rushmore National Memorial, Deadwood ", 16 to 99 ,"Private, Group, Fully Guided+1 more",Bicycle Adventures,6 days,"2,999",116713
187,In-depth Cultural,Western Wonders," Los Angeles, Palm Springs, Phoenix, Scottsdale, Sedona, Grand Canyon National Park, Williams, Las Vegas, Mammoth Lakes, Yosemite National Park, Sacramento, San Francisco+7 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus+3 more",Cosmos,12 days,"2,229",52225
188,In-depth Cultural,"Boston Cape Cod & The Islands (Classic, 8 Days)"," Boston, Plymouth, Sandwich, Martha's Vineyard Island, Nantucket, Newport ", 5 to 99 ,"Family, Private, Group, Fully Guided, Historical+2 more",Insight Vacations,8 days,"3,787",199064
189,Explorer,New Mexico Discovery," Santa Fe, Bandelier National Monument, Taos ", 15 to 99 ,"Group, Fully Guided, Historical+1 more",Intrepid Travel,6 days,"2,880",214161
190,In-depth Cultural,America's Greatest Treasure with Denver Start," Denver, Cheyenne, Rapid City, Mount Rushmore National Memorial, Deadwood, Sheridan, Cody, Yellowstone National Park, Grand Teton National Park, Jackson, Salt Lake City+6 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Coach / Bus, Sightseeing+4 more",Cosmos,10 days,"2,259",131989
191,Explorer,Western Trails," Los Angeles, Palm Springs, Phoenix, Sedona, Grand Canyon National Park, Monument Valley, Page, Kanab, Bryce Canyon National Park, Zion National Park, Las Vegas+6 more", 21 to 60 ,"Group, Fully Guided, Hiking & Trekking+1 more",Travel Talk,8 days,"1,429",239327
192,Active Adventure,Canyon Country Adventure," Scottsdale, Sedona, Village of Oak Creek, Grand Canyon National Park, Monument Valley, Page, Bryce Canyon National Park, Zion National Park, St. George, Las Vegas+6 more", 5 to 80 ,"Family, Wildlife, Group, Fully Guided+1 more",Globus,8 days,"2,699",51740
193,In-depth Cultural,Best of the West (12 Days)," Los Angeles, Anaheim, Santa Monica, Palm Springs, Phoenix, Sedona, Flagstaff, Grand Canyon National Park, Seligman, Kingman, Las Vegas, Yosemite National Park, Modesto, San Francisco+7 more", 5 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Costsaver,12 days,"2,055",93158
194,Explorer,Washington to New York City Discovery," Washington DC, Gettysburg, Lancaster, Philadelphia, New York City ", 15 to 99 ,"Group, Fully Guided, Historical+1 more",Intrepid Travel,7 days,"2,888",222905
195,Hiking & Trekking,Hiking in Yellowstone," Jackson, Yellowstone National Park, Mammoth ", 12 to 99 ,"Group, Fully Guided, Explorer+1 more",Intrepid Travel,5 days,"3,300",230874
196,Active Adventure,Anchorage: Kenai Fjords & Denali National Park 5 Day/4 Night Adventure," Anchorage, Girdwood, Seward, Denali National Park, Talkeetna ", 10 to 75 ,"Family, Private, Group, Fully Guided+1 more",BrushBuck Wildlife Tours,5 days,"1,999",213489
197,,Grand Teton / Yellowstone National Parks 2 Day / 1 Night Wildlife Adventure," Jackson, Grand Teton National Park, Mammoth, Yellowstone National Park ", 6 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing+2 more",BrushBuck Wildlife Tours,2 days,999,182505
198,,Death Valley Day Tour from Las Vegas- Small Groups Tour," Las Vegas, Death Valley National Park ", 7 to 99 ,"inations
 Las Vegas, Death Valley National Park Age Range
 7 to 99 year olds ",Bindlestiff Tours,1 day,279,28324
199,Bicycle,The American Alps Bike Tour," Seattle, North Cascades National Park, Leavenworth ", 21 to 99 ,"Private, Group, Fully Guided, Explorer+2 more",Bicycle Adventures,6 days,"3,327",229345
200,In-depth Cultural,Exploring America's National Parks," Las Vegas, Williams, Grand Canyon National Park, Monument Valley, Kayenta, Moab, Arches National Park, Grand Junction, Colorado National Monument, Mount Rushmore National Memorial, Yellowstone National Park, Bryce Canyon National Park, Zion National Park+7 more", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided, Coach / Bus+2 more",Cosmos,15 days,"3,009",102412
201,In-depth Cultural,Southern Charms & Florida," New Orleans, Baton Rouge, Natchez, Memphis, Nashville, Chattanooga, Atlanta, Savannah, St. Augustine, Orlando+3 more", 5 to 99 ,"Active Adventure, Family, Group, Fully Guided, Explorer+2 more",Cosmos,13 days,"2,479",52252
202,Explorer,USA – Best of Acadia National Park Maine," Bangor, Acadia National Park, Cadillac Mountain, Bar Harbor ", 18 to 55 ,"Camping, Group, Partially Guided+1 more",Bucket List Group Travel LLC,5 days,"2,590",204656
203,Explorer,"Spectacular Canyons and National Parks (End Denver, 13 Days)"," Las Vegas, Grand Canyon National Park, Flagstaff, Monument Valley, Page, Zion National Park, Bryce Canyon National Park, Salt Lake City, Jackson, Grand Teton National Park, Yellowstone National Park, Cody, Little Bighorn Battlefield National Monument, Sheridan, Keystone, Mount Rushmore National Memorial, Denver+12 more", 5 to 80 ,"Family, Private, Group, Fully Guided, Coach / Bus+2 more",Costsaver,13 days,"2,528",205951
204,In-depth Cultural,8-day East Coast America Group Tour," New York City, Washington DC, Philadelphia, Boston ", 18 to 35 ,"Group, Fully Guided",The Coyote Trip,8 days,"2,169",209445
205,Explorer,San Juan Islands Adventure," Seattle, Anacortes, San Juan Island, Friday Harbor, Orcas Island ", 6 to 99 ,"Family, Bicycle, Group, Fully Guided, Kayak & Canoe, Hiking & Trekking+3 more",Active Adventures,6 days,"4,499",214020
206,Hiking & Trekking,Classic Walks in Vermont," Burlington, Essex, Waterbury, Warren, Lincoln ", 16 to 80 ,,Exodus Travels,7 days,"3,549",240007
