,Destination_link,Review
231,109369,"What a fantastic time we had! For me it was the best trip to Hunza, Pakistan yet being able to share the whole experience with friends. Karim and Muthtar were the best guide and driver combo we could have hoped for. I have forwarded this survey to the...

            Show more"
232,109369,"Thank you Karim for showing us the amazing Hunza valley. I and my friends enjoyed the trip and most of us are thinking to come back in Autumn this year or next year. We are happy with your service and have no complaints. Hunza Explorers will organise...

            Show more"
233,115431,"We were a bit anxious about Pakistan before the trip. However, Karim Tajik gave us good confidence. He is trustworthy and knowledgeable. The trip went smoothly from the planning stage until field execution. Autumn in Hunza is amazing. We also had many...

            Show more"
234,115431,Such amazing experience! Beautiful autumn scenery and hospitable people from this land leave us so many speechless moments. Many thanks to Karim and his team for all their efforts in organizing a wonderful trip for us.
235,172749,Well designed itinerary to see blossom in Hunza valley.
236,184618,"Great service, made my trip unforgettable!"
237,184618,"Choose ""EXPLORIA travel pakistan""
you will love your decision and will be best movement of life."
238,146679,"My husband and I have had the pleasure of using Karim as a tour guide. We have taken a trip through “Hunza Explorers” in Pakistan in December 2018. Karim is diligent, thorough and professional. His knowledge and expertise of traveling in Pakistan has...

            Show more"
239,174271,Well designed itinerary to see blossom in Hunza valley.
240,174271,"We did a Blossom Tour with Hunza Explorer and couldn’t ask for more. This is the first time when we went on travel...

            Show more"
241,174271,"We were a bit anxious about Pakistan before the trip. However, Karim Tajik gave us good confidence. He is trustworthy...

            Show more"
242,239592,"If you ever travel to Pakistan, which you should, please use Exploria. No one better! And this is coming from someone...

            Show more"
243,239592,"I would recommend Exploria to all my friends and family. My trip was well organised and within my budget. Tour guides...

            Show more"
244,239592,"Glad to have chosen Exploria for our k2 base camp trek. 
Although it was a separate private trek circuit for 5 of us...

            Show more"
245,109415,Well designed itinerary to see blossom in Hunza valley.
246,109415,"We did a Blossom Tour with Hunza Explorer and couldn’t ask for more. This is the first time when we went on travel...

            Show more"
247,109415,"We were a bit anxious about Pakistan before the trip. However, Karim Tajik gave us good confidence. He is trustworthy...

            Show more"
248,238887,"Sehr schöne Reise, individuell und sportlich ausdauernd, nette Betreuung durch Tourguide im Hintergrund. Tolles Land,...

            Show more"
249,150052,"I had a wonderful trip with Rock Valley Tours Pvt Ltd. The whole trip is enjoyable. Both our guide Manzoor and driver...

            Show more"
250,144364,"I had a wonderful trip with Rock Valley Tours Pvt Ltd. The whole trip is enjoyable. Both our guide Manzoor and driver...

            Show more"
251,150499,"I had a wonderful trip with Rock Valley Tours Pvt Ltd. The whole trip is enjoyable. Both our guide Manzoor and driver...

            Show more"
252,183513,"Fantastic!!! We had such an amazing time. The meals were fantastic. Everyone was extremely friendly and the places we...

            Show more"
253,225517,Well designed itinerary to see blossom in Hunza valley.
254,225517,"We did a Blossom Tour with Hunza Explorer and couldn’t ask for more. This is the first time when we went on travel...

            Show more"
255,225517,"We were a bit anxious about Pakistan before the trip. However, Karim Tajik gave us good confidence. He is trustworthy...

            Show more"
256,109378,Well designed itinerary to see blossom in Hunza valley.
257,109378,"We did a Blossom Tour with Hunza Explorer and couldn’t ask for more. This is the first time when we went on travel...

            Show more"
258,109378,"We were a bit anxious about Pakistan before the trip. However, Karim Tajik gave us good confidence. He is trustworthy...

            Show more"
