,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
107,In-depth Cultural,"A Private Luxury Guided Tour to Golden Triangle and Varanasi (From Mumbai with Flights): Taj Mahal, Forts and Palaces and Jaipur, Varanasi"," Mumbai, New Delhi, Agra, Jaipur, Varanasi ", 1 to 99 ,"Family, Custom, Private, Fully Guided, Christmas & New Year+2 more",Adreva Trotter Pvt Ltd,6 days,"1,280",162841
108,In-depth Cultural,"Essence of India with Varanasi, 4 star accommodation"," New Delhi, Jaipur, Agra, Orchha, Khajuraho, Varanasi ", 5 to 90 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,11 days,939,130773
109,Active Adventure,Essence of Rajasthan & Tiger - 11 Days," New Delhi, Agra, Ranthambore National Park, Jaipur, Bikaner, Jaisalmer, Jodhpur, Udaipur+1 more", 5 to 99 ,"Family, Tiger, Private, Partially Guided, Christmas & New Year+2 more",Payless tours india,11 days,891,145541
110,In-depth Cultural,Majestic Golden Triangle Tour with Varanasi Famous Religious Place," New Delhi, Jaipur, Agra, Varanasi ", 1 to 90 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Real viaggi india ,7 days,660,159674
111,Explorer,Golden Triangle with Rishikesh (Yoga)," New Delhi, Jaipur, Agra, Mathura, Rishikesh ", 1 to 90 ,"Family, Yoga, Health, Spa & Wellness, Private, Group, Historical, Christmas & New Year+5 more",Yolo India Tours,10 days,836,176670
112,In-depth Cultural,6 Day Golden Triangle with Pushkar(Delhi Agra Jaipur Pushkar Tour)," New Delhi, Agra, Jaipur, Pushkar ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Julie International Tours,6 days,517,138822
113,In-depth Cultural,Golden Triangle with Golden Temple Amritsar," New Delhi, Jaipur, Fatehpur Sikri, Agra, Amritsar ", 1 to 95 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Yolo India Tours,8 days,670,105590
114,Explorer,"North India, Taj Mahal and Ranthambore Wildlife Tiger Safari Tour from Delhi"," New Delhi, Agra, Jaipur, Ranthambore National Park ", 1 to 99 ,"Family, Safari, Tiger, Private, Partially Guided, Christmas & New Year+3 more",Travel Creators Of India,7 days,615,142531
115,Safari,Golden Triangle with Tiger 7 Nights / 8 Days," New Delhi, Agra, Fatehpur Sikri, Ranthambore National Park, Jaipur ", 10 to 90 ,"Active Adventure, Family, Custom, Private, Fully Guided, Christmas & New Year+3 more",Go My Journey,8 days,484,161729
116,In-depth Cultural,"Golden Triangle Independent Adventure—Delhi, Agra & Jaipur"," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 12 to 90 ,"Family, Self-Guided, Group, Fully Guided, Christmas & New Year+2 more",G Adventures,6 days,599,5685
117,In-depth Cultural,South India Temples Tour With Kerala Total Spiritual," Chennai (Madras), Kanchipuram, Mahabalipuram, Puducherry, Thanjavur, Tiruchirapalli, Madurai, Munnar, Alleppey, Kochi (Cochin)+5 more", 1 to 90 ,"Family, Temples, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Real viaggi india ,10 days,800,159585
118,Wildlife,Taj Temples and Tigers India Tour," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Ranthambore National Park, Ranthambhore National Park, Jaipur, Varanasi+3 more", 1 to 80 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Alkof Holidays,10 days,"1,250",158301
119,Hiking & Trekking,Leh Ladakh Tour," Leh, Nubra Valley, Hunder, Diskit, Thiksey, Pangong Tso Lake, Hemis ", 1 to 80 ,"Family, Private, Group, Partially Guided+1 more",Alkof Holidays,7 days,"1,100",155760
120,In-depth Cultural,North India Private Tour from Delhi By Car," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Travel Creators Of India,6 days,369,113925
121,Active Adventure,"Mesmerizing Shimla, Manali & Chandigarh from Delhi - 07 Days"," New Delhi, Shimla, Manali, Chandigarh ", 5 to 90 ,"Family, Private, Christmas & New Year+1 more",Memorable India Journeys,7 days,413,218194
122,In-depth Cultural,10 Days: Colorful Rajasthan Delhi-Agra-Jaipur-Jodhpur-Udaipur-Pushkar," New Delhi, Agra, Jaipur, Jodhpur, Udaipur, Pushkar ", 5 to 90 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Memorable India Journeys,10 days,760,218185
123,Active Adventure,"Idyllic Kerela with Mumbai and relax on Kovalam beach, luxury houseboat"," Mumbai, Kochi (Cochin), Munnar, Periyar National Park, Alleppey, Kovalam, Kanyakumari, Thiruvananthapuram+2 more", 5 to 90 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Payless tours india,11 days,"1,076",133384
124,In-depth Cultural,11- Day Enthralling  Rajasthan Tour : Tigers  Palaces  Folk Dances Slow-Cooked Food  Lake Cruises," Jaipur, Mandawa, Kishangarh, Pushkar, Madhogarh, Sawai Madhopur, Bijaipur, Udaipur+1 more", 7 to 80 ,"Family, Safari, Private, Fully Guided, Christmas & New Year+2 more",IHCT Heritage & Adventure  Tours,11 days,"1,900",112059
125,In-depth Cultural,India's Golden Triangle with Jodhpur Udaipur Tour - Delhi Agra Jaipur Jodhpur Udaipur Tour," New Delhi, Agra, Jaipur, Jodhpur, Udaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Wonderful Holidays,8 days,793,156985
126,Explorer,Super Saver Golden Triangle Tour," Delhi, Agra, Jaipur, New Delhi ", 1 to 99 ,"Family, Custom, Private, Partially Guided, In-depth Cultural, Christmas & New Year+3 more",Taj Destination Tours ,5 days,450,127988
127,In-depth Cultural,Glorious Golden Triangle Tour 4 night 5 days With 5 Star Accommodation," New Delhi, Agra, Jaipur ", 5 to 92 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Real viaggi india ,5 days,450,164188
128,Explorer,10 Days Private Golden Triangle with Ranthambore Wildlife Safari & Varanasi," New Delhi, Varanasi, Agra, Ranthambore National Park, Jaipur ", 1 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Varanasi Excursion Pvt Ltd,10 days,867,147685
129,In-depth Cultural,"Golden Triangle Tour, 4 Night 5 Days"," New Delhi, Agra, Jaipur ", 15 to 80 ,"Family, Private, Partially Guided, Explorer, Sightseeing, Christmas & New Year+4 more",Cox & Queen Travel,5 days,360,138189
130,In-depth Cultural,India bestseller with Taj Mahal and Akshardham temple," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 5 to 15 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Payless tours india,5 days,289,118834
131,In-depth Cultural,Golden Triangle India Tour," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur ", 1 to 80 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Alkof Holidays,7 days,500,139368
132,Explorer,6 Days - Golden Triangle With Ranthambore Wildlife and Bird Sanctuary - Delhi - Agra - Jaipur - Ranthambore - Delhi," New Delhi, Agra, Bharatpur, Ranthambore National Park, Jaipur ", 14 to 75 ,"Family, Safari, Private, Partially Guided, Christmas & New Year+2 more",Volunteering With India,6 days,475,159513
133,In-depth Cultural,5 Day Golden Triangle Tour - Delhi Agra Jaipur Tour," New Delhi, Agra, Jaipur ", 15 to 90 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Julie International Tours,5 days,517,135148
134,In-depth Cultural,Golden triangle with the city of lakes Udaipur," New Delhi, Agra, Jaipur, Pushkar, Udaipur ", 5 to 90 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,8 days,735,133697
135,Explorer,"7 Day Delhi Agra Jaipur Ranthambore Udaipur Tour {Taj, Tigers, Wildlife, Lakes & More}"," New Delhi, Agra, Ranthambore National Park, Jaipur, Udaipur ", 1 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Wonderful Holidays,7 days,854,172007
136,Explorer,"Discover India : 5-Days Golden Triangle Delhi, Jaipur and Agra with Fatehpur Sikri Tour"," New Delhi, Agra, Jaipur ", 1 to 80 ,"Family, Custom, Private, Fully Guided, Historical, Christmas & New Year+3 more",India Arrivals Tours,5 days,516,138026
137,In-depth Cultural,India's Golden Triangle Tour With Golden Temple - 10 Days," New Delhi, Agra, Jaipur, Amritsar ", 15 to 100 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Amazing India Tours,10 days,861,191102
138,Explorer,Golden Triangle with Varanasi / Ganges ( 7 Nights / 8 Days )," New Delhi, Agra, Fatehpur Sikri, Abhaneri, Jaipur, Varanasi ", 15 to 95 ,"Family, Custom, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Go My Journey,8 days,392,157532
139,In-depth Cultural,Amazing Kerala Tour from Cochin - 6 Days," Kochi (Cochin), Munnar, Thekkady, Alleppey ", 5 to 90 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Memorable India Journeys,6 days,374,217958
140,Explorer,Golden Triangle With Haridwar And Rishikesh Ganga Tour," New Delhi, Agra, Jaipur, Haridwar, Rishikesh ", 1 to 90 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Memorable India Journeys,8 days,649,159252
141,In-depth Cultural,Golden Triangle with Goa Beach," New Delhi, Jaipur, Agra, Goa ", 1 to 95 ,"Beach, Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+4 more",Yolo India Tours,10 days,688,105591
142,Safari,Mysore Kabini National Park Package from Bangalore," Bangalore, Mysuru, Kabini National Park, Coonoor ", 5 to 90 ,"Active Adventure, Family, Private, Group, Fully Guided, Christmas & New Year+3 more",Travel Con,6 days,600,188016
143,Romantic,10 Days South India Tour With Goa From Chennai (ALL INCLUSIVE)," Chennai (Madras), Kanchipuram, Mahabalipuram, Madurai, Periyar National Park, Kumarakom, Alleppey, Kochi (Cochin), Goa+4 more", 5 to 90 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Travel Con,10 days,960,194088
144,In-depth Cultural,11 Days Dreamy Tamilnadu and  Kerala Tour from Chennai(ALL INCLUSIVE)," Chennai (Madras), Mahabalipuram, Kanchipuram, Thanjavur, Madurai, Trichy, Periyar National Park, Kumarakom, Alleppey, Kochi (Cochin)+4 more", 1 to 90 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Travel Con,11 days,720,194109
145,Active Adventure,"Colourful Rajasthan Tour with Taj, Lakes and Wildlife Tour"," New Delhi, Jaipur, Jodhpur, Udaipur, Ranthambore National Park, Agra ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Julie International Tours,11 days,"1,431",138459
146,In-depth Cultural,Why You Really Need  WOMEN SOUTH INDIA TOUR," Chennai (Madras), Kanchipuram, Mahabalipuram, Puducherry, Thanjavur, Trichy, Madurai, Munnar, Alleppey, Kochi (Cochin)+4 more", 6 to 90 ,"Private, Group, Fully Guided, Christmas & New Year+2 more",Real viaggi india ,9 days,704,231983
147,Explorer,The best of Leh Ladakh with a personal guide HB," Delhi, Leh, Lamayuru, Pangong Tso Lake, Nubra Valley ", 1 to 70 ,"Family, Private, Group, Partially Guided, In-depth Cultural, Christmas & New Year+3 more",Payless tours india,11 days,"1,905",228301
148,In-depth Cultural,5-Day Excursion of India's Golden Triangle," New Delhi, Agra, Jaipur ", 5 to 90 ,"Family, Private, Group, Partially Guided, Sightseeing, Historical, Christmas & New Year+4 more",Agra Trip,5 days,492,115448
149,In-depth Cultural,From Delhi : 6 Nights 7 Days Tour of Agra-Jaipur-Delhi & Varanasi," New Delhi, Agra, Jaipur, Varanasi ", 1 to 80 ,"Active Adventure, Family, Custom, Private, Partially Guided, Explorer, Historical, Christmas & New Year+5 more",India Arrivals Tours,7 days,738,138169
150,Romantic,11 days Pearls of South India Tour with Luxury Houseboat Stay(All INCLUSIVE)," Bangalore, Mysuru, Coonoor, Kochi (Cochin), Alleppey, Thekkady, Madurai, Chennai (Madras)+1 more", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,11 days,720,149097
151,Safari,Golden Triangle Tour with Tiger Safari in Ranthambore," New Delhi, Agra, Ranthambore National Park, Jaipur ", 15 to 80 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Cox & Queen Travel,6 days,520,138278
152,In-depth Cultural,Marvellous North India," New Delhi, Varanasi, Khajuraho, Orchha, Jhansi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur+1 more", 1 to 80 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Alkof Holidays,10 days,"1,000",150539
153,Explorer,Golden Triangle Tour With Varanasi - Holy Ganges  8 Days," New Delhi, Agra, Jaipur, Varanasi ", 15 to 100 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Amazing India Tours,8 days,738,189881
154,Explorer,Golden Triangle with Dunes and Village Visit," New Delhi, Agra, Jaipur ", 1 to 90 ,"Family, Local Living, Private, Fully Guided, Christmas & New Year+3 more",Yolo India Tours,7 days,633,109253
155,Explorer,Golden Triangle Tour Packages India Ranthambore with Tiger Safari," New Delhi, Agra, Ranthambore National Park, Jaipur ", 1 to 99 ,"Family, Safari, Tiger, Private, Partially Guided, Christmas & New Year+3 more",Golden Triangle Tours Of India,8 days,700,113722
156,In-depth Cultural,Raj to Taj & Beyond - Golden Triangle with Galta & Gaitore !!," New Delhi, Agra, Fatehpur Sikri, Abhaneri, Jaipur ", 5 to 90 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",MTA Destination Experts,5 days,350,114551
157,Explorer,Golden Triangle Tour with Ranthambore from Delhi," New Delhi, Agra, Sawai Madhopur, Jaipur ", 1 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Travel Creators Of India,7 days,553,113922
158,In-depth Cultural,Golden Triangle with Jodhpur Private Tour from Delhi," New Delhi, Agra, Jaipur, Jodhpur ", 1 to 99 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Travel Creators Of India,7 days,553,144189
159,Active Adventure,"Delhi, Agra, Jaipur & Ranthambhore Private Wildlife Tiger Safari 5-Day Tour from Delhi"," New Delhi, Agra, Ranthambore National Park, Jaipur ", 1 to 85 ,"Private, Partially Guided, Christmas & New Year+1 more",Travel Creators Of India,5 days,526,232009
160,In-depth Cultural,5-Days Private Golden Triangle Tour from Delhi," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Travel Creators Of India,5 days,344,141775
161,Explorer,Royal Rajasthan Tour with Tiger (Ranthambore)," New Delhi, Agra, Fatehpur Sikri, Ranthambore National Park, Jaipur, Jodhpur, Udaipur+1 more", 2 to 85 ,"Family, Safari, Tiger, Private, Group, Fully Guided, Christmas & New Year+4 more",World Travel Experiences,12 days,975,131899
162,In-depth Cultural,Enchanting 9 Days Golden Triangle Tour with  Varanasi & Khajuraho," New Delhi, Jaipur, Agra, Khajuraho, Varanasi ", 5 to 90 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,9 days,840,147146
163,Explorer,5 Day Golden Triangle with Ranthambore Wildlife Safari(Delhi Agra Jaipur Ranthambore Tour)," New Delhi, Agra, Ranthambore National Park, Jaipur ", 7 to 86 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Julie International Tours,5 days,548,196786
164,In-depth Cultural,Luxury Golden Triangle Tour of India," New Delhi, Agra, Fatehpur Sikri, Jaipur ", 1 to 95 ,"Family, Private, Partially Guided, Explorer, Christmas & New Year+3 more",GeTS Holidays,6 days,793,95939
165,Safari,"Taj, Tigers & Lakes - Golden Triangle with Ranthambore & Udaipur"," New Delhi, Agra, Ranthambore National Park, Udaipur, Jaipur ", 15 to 80 ,"Family, Tiger, Private, Group, Fully Guided, Explorer, Christmas & New Year+4 more",K K Holidays N Vacations ,8 days,699,112328
166,In-depth Cultural,Experience the Royalty of Rajasthan in 10 Days," New Delhi, Agra, Jaipur, Udaipur, Jodhpur, Bikaner, Mandawa ", 18 to 85 ,"Private, Partially Guided, Explorer, Sightseeing, Christmas & New Year+3 more",Colourful Indian Holidays,10 days,"1,192",111429
167,Wildlife,India Wildlife Safari - Asiatic Lions with the Bengal Tigers," Mumbai, Elephanta Island, Diu, Gir National Park, Nagpur, Kanha National Park, Bandhavgarh National Park, Jabalpur+2 more", 1 to 80 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Alkof Holidays,10 days,"2,400",158308
168,Explorer,Delhi Agra Ranthambore Udaipur Jaipur Tour with Lakes Tigers & Taj Mahal," New Delhi, Agra, Ranthambore National Park, Udaipur, Jaipur ", 1 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Wonderful Holidays,8 days,891,171689
169,In-depth Cultural,5-Day Golden Triangle Excursion Tour of India," New Delhi, Agra, Jaipur ", 5 to 90 ,"Family, Private, Group, Partially Guided, Explorer, Sightseeing, Historical, Christmas & New Year+5 more",Agra Taj Visit,5 days,492,153112
170,In-depth Cultural,The best of Kerala in 9 days with idyllic houseboat and relax," Kochi (Cochin), Munnar, Periyar National Park, Alleppey, Kovalam ", 2 to 99 ,"Family, Private, Group, Partially Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,9 days,891,176301
171,Explorer,Golden triangle with yoga in Rishikesh," New Delhi, Jaipur, Agra, Rishikesh, Haridwar ", 5 to 80 ,"Family, Yoga, Private, Group, Partially Guided, Sightseeing, Historical, Christmas & New Year+5 more",Payless tours india,9 days,682,133797
172,Explorer,"Essence of India for singles, special offer"," New Delhi, Jaipur, Agra, Rishikesh, Haridwar, Amritsar, Dharamsala ", 1 to 99 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,11 days,"1,660",193244
173,In-depth Cultural,Chambal Velly with Famous Golden Triangle Tour," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Kohinoor Holidays,7 days,850,157655
174,In-depth Cultural,North India Highlights (Delhi-Agra-Jaipur-Varanasi)," New Delhi, Agra, Jaipur, Varanasi ", 1 to 90 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Memorable India Journeys,9 days,755,174952
175,Historical,8 Days Famous Golden Triangle Tour with Mystical Golden Temple of Amritsar(ALL INCLUSIVE)," New Delhi, Agra, Jaipur, Amritsar ", 5 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,8 days,510,148838
176,In-depth Cultural,7 Days Cultural heartlands of South India tour," Bangalore, Mysuru, Ooty, Kochi (Cochin) ", 5 to 90 ,"Family, Food & Culinary, Private, Group, Fully Guided, Historical, Christmas & New Year+5 more",Travel Con,7 days,480,134236
177,In-depth Cultural,6 Day Golden Triangle Tour - Delhi Agra Jaipur Tour," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Custom, Private, Group, Partially Guided, Explorer, Christmas & New Year+4 more",Julie International Tours,6 days,548,135539
178,In-depth Cultural,Luxury Golden Triangle Tour with Pushkar," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur, Ajmer, Pushkar, Mandawa ", 1 to 80 ,"Family, Private, Partially Guided, Historical, Christmas & New Year+3 more",Alkof Holidays,9 days,"1,600",163670
179,Explorer,Golden Triangle Tour with Ranthambore," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Ranthambore National Park, Ranthambhore National Park, Jaipur+2 more", 1 to 80 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Alkof Holidays,9 days,"1,000",150544
180,In-depth Cultural,Golden Triangle Tour with Udaipur," New Delhi, Agra, Taj Mahal, Fatehpur Sikri, Jaipur, Chittorgarh, Udaipur, Pichola ", 1 to 80 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Alkof Holidays,8 days,"1,200",150562
181,In-depth Cultural,Golden Triangle Tour with Akshardham Temple - Delhi Agra Jaipur Tour With Taj Mahal Sunrise/Sunset," New Delhi, Agra, Jaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Wonderful Holidays,5 days,424,156781
182,In-depth Cultural,8 days Rajasthan Tour starts from Udaipur ends in Jaipur," Jaipur, Udaipur, Jodhpur, Jaisalmer, Bikaner ", 14 to 75 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Volunteering With India,8 days,438,156836
183,In-depth Cultural,Golden Triangle With Varanasi Tour 7 Days," New Delhi, Agra, Jaipur, Varanasi ", 10 to 72 ,"Family, Private, Partially Guided, Christmas & New Year+2 more",Volunteering With India,7 days,450,159189
184,Explorer,Private Golden Triangle with Ranthambore from Delhi," New Delhi, Agra, Ranthambore National Park, Jaipur ", 1 to 99 ,"Family, Safari, Tiger, Private, Partially Guided, Christmas & New Year+3 more",Travel Creators Of India,7 days,956,146095
185,In-depth Cultural,Delhi Agra Jaipur Golden Triangle Private Tour from Pune by Flight," Pune, Delhi, Agra, Jaipur ", 5 to 80 ,Christmas & New Year,Travel Creators Of India,6 days,"1,063",231018
186,In-depth Cultural,Delhi Agra Jaipur Golden Triangle Private Tour from Goa by Flight," Goa, Delhi, Agra, Jaipur ", 1 to 90 ,"Private, Christmas & New Year+1 more",Travel Creators Of India,6 days,"1,063",230555
187,In-depth Cultural,Golden Triangle with Udaipur Private Tour from Delhi," New Delhi, Agra, Jaipur, Udaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Travel Creators Of India,7 days,553,143549
188,In-depth Cultural,Delhi Agra Jaipur Golden Triangle Private Tour from Mumbai by Flight," Mumbai, Delhi, Agra, Jaipur ", 5 to 85 ,"Private, Partially Guided, Christmas & New Year+1 more",Travel Creators Of India,6 days,"1,063",230996
189,In-depth Cultural,"India's Golden Triangle (Heritage, Culture & Village) 08 Days"," New Delhi, Jaipur, Karauli, Fatehpur Sikri, Agra ", 5 to 90 ,"Family, Private, Christmas & New Year+1 more",Memorable India Journeys,8 days,617,218013
190,In-depth Cultural,"8 Days India's Golden Triangle Heritage, Culture & Village Tour with 4 Star Hotel"," New Delhi, Jaipur, Karauli, Fatehpur Sikri, Agra ", 5 to 90 ,"Private, Christmas & New Year+1 more",Memorable India Journeys,8 days,723,230827
191,In-depth Cultural,God's Own Country Kerala," Kochi (Cochin), Munnar, Periyar National Park, Alleppey, Kovalam, Thiruvananthapuram+1 more", 1 to 90 ,"Family, Private, Group, Partially Guided, Explorer, Christmas & New Year+3 more",Yolo India Tours,8 days,756,98624
192,Safari,Best North India Wildlife Tour," New Delhi, Kanha National Park, Bandhavgarh National Park, Khajuraho ", 1 to 85 ,"Family, Wildlife & Nature Photography, Private, Group, Partially Guided, Christmas & New Year+5 more",Yolo India Tours,10 days,"1,510",177241
193,Active Adventure,Golden Triangle Tour with Leopard Safari & Taj Mahal Sunrise," New Delhi, Jaipur, Agra ", 5 to 99 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Agra Taj Visit,5 days,492,182052
194,Explorer,5 Days Golden Triangle Tour with Ranthambore(Tigers and Taj Mahal Sunrise)," New Delhi, Agra, Ranthambore National Park, Jaipur ", 5 to 99 ,"Family, Safari, Private, Group, Partially Guided, Christmas & New Year+3 more",Agra Taj Visit,5 days,504,182053
195,Romantic,Majestic 10 Days Golden Triangle Tour  with Jodhpur And Udaipur," New Delhi, Agra, Jaipur, Jodhpur, Udaipur ", 5 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,10 days,990,147153
196,In-depth Cultural,Historical 7 Days  Golden Triangle Tour With Mathura and Vrindavan," New Delhi, Mathura, Agra, Jaipur ", 5 to 80 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Travel Con,7 days,420,134233
197,Historical,7 Days Popular Golden Triangle Tour With Mandawa (ALL INCLUSIVE)," New Delhi, Agra, Jaipur, Mandawa ", 5 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Travel Con,7 days,490,148893
198,In-depth Cultural,Classical 11 Days Golden Triangle Tour With Shimla and Manali (ALL INCLUSIVE)," New Delhi, Shimla, Kufri, Manali, Chandigarh, Agra, Jaipur ", 5 to 90 ,"Family, Romantic, Private, Group, Fully Guided, Christmas & New Year+3 more",Travel Con,11 days,960,134232
199,Explorer,10 Days Palatial Golden Triangle Tour With Haridwar And Rishikesh(ALL INCLUSIVE)," New Delhi, Agra, Jaipur, Haridwar, Rishikesh ", 5 to 85 ,"Family, Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Travel Con,10 days,650,148936
200,In-depth Cultural,"South India Tour Package with Chennai, Kanchipuram, Mahabalipuram, Pondicherry, Thanjavur, Trichy  including meals"," Chennai (Madras), Mahabalipuram, Puducherry, Trichy ", 1 to 95 ,"Family, Private, Group, Partially Guided, Historical, Christmas & New Year+3 more",Real viaggi india ,5 days,420,182448
201,Active Adventure,pench and Kanha Wildlife Safari Tour," Pench National Park, Kanha National Park, Nagpur ", 10 to 99 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Real viaggi india ,5 days,750,240251
202,Explorer,Golden Triangle Tour with Taj Nature Walks Agra 5 nights/ 6 days," Delhi, Agra, Jaipur, New Delhi ", 1 to 90 ,"Private, Group, Partially Guided, Historical+2 more",Real viaggi india ,6 days,350,232151
203,Wildlife,Marvelous Taj Mahal tour With Bandhavgarh & Kanha  Wildlife Tiger Safari," New Delhi, Agra, Katni, Bandhavgarh National Park, Kanha National Park, Jabalpur+1 more", 12 to 85 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Real viaggi india ,10 days,"1,000",191198
204,In-depth Cultural,8 Days Private Golden Triangle with Varanasi," New Delhi, Varanasi, Jaipur, Agra ", 1 to 85 ,"Family, Temples, Private, Group, Partially Guided, Explorer, Historical, Christmas & New Year+5 more",Varanasi Excursion Pvt Ltd,8 days,503,116826
205,In-depth Cultural,Essence of  Idyllic South India," Kochi (Cochin), Alleppey, Munnar, Periyar National Park, Madurai, Thanjavur, Puducherry, Mahabalipuram, Chennai (Madras)+3 more", 5 to 90 ,"Family, Private, Partially Guided, Sightseeing, Christmas & New Year+3 more",Payless tours india,9 days,916,184406
206,In-depth Cultural,7 Days Private Golden Triangle Tour with Mandawa," New Delhi, Agra, Abhaneri, Jaipur, Mandawa ", 18 to 85 ,"Custom, Private, Partially Guided, Explorer, Christmas & New Year+3 more",Colourful Indian Holidays,7 days,553,119562
207,In-depth Cultural,Golden Triangle Tour with Udaipur," New Delhi, Agra, Jaipur, Udaipur ", 1 to 99 ,"Family, Private, Group, Partially Guided, Christmas & New Year+2 more",Golden Triangle Tours Of India,7 days,670,113719
208,Explorer,Private 6 Days Stepwell Tour in Rajasthan with Ranthambore Wildlife Safari," Jaipur, Abhaneri, Ranthambore National Park, Bundi, Pushkar ", 12 to 90 ,"Family, Custom, Safari, Private, Partially Guided, Christmas & New Year+3 more",Rajasthan Discovery Private Day Tour,6 days,350,157256
209,,Coffee With Tajmahal - A Short Stay Tour of Agra," New Delhi, Agra ", 5 to 90 ,"Family, Photography, Private, Group, Fully Guided, Christmas & New Year+4 more",MTA Destination Experts,2 days,145,149363
210,In-depth Cultural,Bandhavgarh Kanha Pench Tour," New Delhi, Jabalpur, Bandhavgarh National Park, Kanha National Park, Pench National Park, Nagpur+2 more", 1 to 80 ,"Family, Tiger, Private, Group, Partially Guided, Christmas & New Year+3 more",Alkof Holidays,9 days,"1,800",163651
